Country,Population in Millions,GDP per Capita,Happiness
China,1394.02,18192.04,5.131433964
United States,332.64,58592.03,6.882684708
India,1326.09,7144.29,3.818068743
Japan,125.51,43367.94,5.793575287
Germany,80.16,52382.96,7.118364334
Russia,141.72,28337.13,5.513500214
Indonesia,267.03,12171.08,5.340295792
Brazil,211.72,15341.31,6.190921783
United Kingdom,65.76,44479.17,7.233445168
France,67.85,42094.00,6.665903568
Mexico,128.65,19145.03,6.549578667
Italy,62.40,37129.83,6.516526699
Turkey,82.02,26652.84,5.185689449
South Korea,51.84,39259.10,5.840231419
Spain,50.02,35548.77,6.513370991
Saudi Arabia,34.17,51940.83,6.356393337
Canada,37.69,47063.09,7.175496578
Iran,84.92,19311.54,4.278117657
Australia,25.47,49005.64,7.17699337
Thailand,68.98,17918.91,6.011561871
Egypt,104.12,11563.09,4.005450726
Taiwan,23.60,50374.85,6.467004776
Poland,38.28,29413.05,6.201268196
Nigeria,214.03,5237.63,5.252288342
Pakistan,233.50,4543.88,5.471553802
Malaysia,32.65,28583.17,5.338817596
Netherlands,17.28,53494.14,7.463097095
Argentina,45.48,20275.24,5.792796612
Philippines,109.18,8034.38,5.869172573
South Africa,56.46,13587.51,4.8839221
Colombia,49.08,14497.35,5.983512402
United Arab Emirates,9.99,69655.15,6.603743553
Bangladesh,162.65,4244.06,4.499217033
Iraq,38.87,16703.26,4.462399006
Vietnam,98.72,6571.03,5.295547009
Algeria,42.97,14660.41,5.043086052
Belgium,11.72,45150.83,6.89217186
Singapore,6.21,85044.91,6.374564171
Switzerland,8.40,62244.21,7.508586884
Sweden,10.20,50771.91,7.374792099
Romania,21.30,22691.75,6.150878906
Hong Kong,7.25,66276.71,5.362474918
Kazakhstan,19.09,25068.16,6.00763607
Chile,18.19,24858.73,6.436220646
Austria,8.86,49777.36,7.396001816
Peru,31.91,13482.69,5.679661274
Venezuela,28.64,13321.88,5.005663395
Norway,5.47,69721.86,7.444262028
Ukraine,43.92,8414.74,4.661909103
Ireland,5.18,68249.84,6.962335587
Qatar,2.44,138901.73,6.374529362
Israel,8.68,36551.31,6.92717886
Portugal,10.30,30487.23,5.919822693
Greece,10.61,28217.08,5.40928936
Morocco,35.56,8396.68,4.896791935
Kuwait,2.99,96769.69,6.093905449
Hungary,9.77,29636.22,6.065038681
Denmark,5.87,49033.89,7.648785591
Sri Lanka,22.89,12049.35,4.400223255
Finland,5.57,43954.55,7.85810709
Uzbekistan,30.57,7295.83,6.205460072
Ethiopia,108.11,1855.46,4.379262447
Angola,32.52,5952.83,3.794837952
Ecuador,16.90,11416.83,6.128010273
Oman,4.66,40751.63,6.852982044
New Zealand,4.93,38371.92,7.370285988
Slovakia,5.44,33029.43,6.23511076
Belarus,9.48,18928.21,5.233769894
Sudan,45.56,3893.63,4.138672829
Dominican Republic,10.50,16476.65,5.433215618
Azerbaijan,10.21,16872.74,5.167995453
Kenya,53.53,3058.22,4.655702591
Tanzania,58.55,2775.27,3.445023298
Bulgaria,6.97,22032.76,5.098813534
Guatemala,17.15,8050.93,6.626591682
Tunisia,11.72,11747.97,4.741132259
Cuba,11.06,12388.03,5.417868614
Ghana,29.34,4567.11,5.481310844
Serbia,7.01,15073.80,5.936493397
Panama,3.89,26732.87,6.281434059
Turkmenistan,5.53,18756.92,4.620601654
Croatia,4.23,24149.98,5.536271095
Cote d'Ivoire,27.48,3535.52,5.26837492
Lithuania,2.73,33487.54,6.308878899
Cameroon,27.74,3227.25,5.250737667
Uganda,43.25,2062.06,4.321714878
Jordan,10.82,8225.02,4.638933659
Paraguay,7.19,12362.89,5.71329546
Lebanon,5.47,16134.60,5.167186737
Costa Rica,5.10,16465.32,7.141074657
Bolivia,11.64,7192.50,5.915734291
Nepal,30.33,2611.13,4.910086632
Uruguay,3.39,23072.35,6.371714592
Yemen,29.88,2463.83,3.057513952
Slovenia,2.10,33875.85,6.249419212
Bahrain,1.51,47288.94,6.227320671
Afghanistan,36.64,1895.27,2.694303274
Zambia,17.43,3955.44,4.041488171
Cambodia,16.93,3793.35,5.121837616
Luxembourg,0.63,98841.31,7.242630959
Libya,6.89,8993.50,5.493977547
Senegal,15.74,3482.38,4.769377232
Latvia,1.88,28715.22,5.901154041
El Salvador,6.48,7895.26,6.276246071
Syria,19.40,2591.96,3.46191287
Laos,7.45,6625.13,4.85940218
Honduras,9.24,5013.35,5.908423901
Bosnia and Herzegovina,3.84,11687.91,5.887401104
Mongolia,3.17,13743.57,5.464622974
Trinidad and Tobago,1.21,35448.70,6.191859722
Estonia,1.23,33899.71,6.091302395
Mali,19.55,2108.07,4.415729523
Georgia,4.00,9969.98,4.659097195
Madagascar,26.96,1478.35,4.070586681
Botswana,2.32,16834.73,3.4613657
Mozambique,30.10,1232.30,4.653713703
Gabon,2.23,16432.77,4.783009052
Nicaragua,6.20,5867.71,5.81895256
Albania,3.07,11712.17,5.004402637
Burkina Faso,20.84,1720.63,4.92723608
Zimbabwe,14.55,2355.92,3.616479874
Cyprus,1.27,25089.29,6.276443005
Macedonia,2.13,14595.68,5.239834785
Chad,16.88,1695.76,4.486325264
Tajikistan,8.87,3203.86,5.829234123
Armenia,3.02,9379.99,5.062448502
Mauritius,1.38,20494.94,5.88174057
Guinea,12.53,2232.70,5.25222683
Namibia,2.63,10113.79,4.834087849
Jamaica,2.81,9278.74,5.889759064
Benin,12.86,1973.63,5.81982708
Rwanda,12.71,1941.41,3.5610466
Moldova,3.36,7050.09,5.682277203
Kyrgyzstan,5.96,3881.04,5.297383308
Malawi,21.20,1057.72,3.334633589
Niger,22.77,959.94,5.164007187
Somalia,11.76,1738.52,4.667941093
South Sudan,10.56,1894.66,2.816622496
Haiti,11.07,1804.34,3.614928007
Kosovo,1.93,10140.86,6.391825676
Malta,0.46,42119.81,6.909710884
Iceland,0.35,51834.15,7.476213932
Mauritania,4.01,4314.10,4.313615322
Togo,8.61,1506.66,4.022894859
Sierra Leone,6.62,1743.41,4.305683136
Montenegro,0.61,18168.13,5.650189877
Suriname,0.61,14252.69,6.269286633
Burundi,11.87,674.80,3.775283098
Bhutan,0.78,9209.81,5.082128525
Lesotho,1.97,3379.82,3.795300722
Guyana,0.75,8399.05,5.992826462
Liberia,5.07,1204.74,4.134852886
Djibouti,0.92,3948.78,4.369193554
Central African Republic,5.99,565.86,3.475862026
Belize,0.40,8053.09,5.955646515
Comoros,0.85,1558.58,3.972819567
